Column 1,Have you read the information above and do you agree to participate in this survey?,Which of the following best describes you?,Which semester are you currently in?,What is your age group?,What is your gender?,Which of the following best describes your study programme or department?,Which best describes your current or most recently completed level of study?,Do you have any previous work or internship experience?,"Before this survey, were you aware that some companies use AI-based systems in recruitment and selection (e.g., automated CV screening, AI ranking of candidates, AI video interview analysis)?",Which of the following AI-based recruitment tools have you heard of (even if you are not sure how they work)?,"Have you ever applied for a position (job, internship, trainee, etc.) where AI was used or likely used in the recruitment process?","How well do you feel you understand, in general, how AI-based recruitment systems work?","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [AI-based recruitment treats all candidates according to the same criteria.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [Using AI in recruitment can help reduce human bias in hiring decisions.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [AI-based recruitment systems are inherently unfair. (reverse-coded)]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [I understand, at least in general terms, how AI recruitment systems evaluate candidates.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [Companies clearly explain when and how they use AI in their recruitment process.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [AI-based recruitment systems feel like a “black box” to me. (reverse-coded)]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [I trust AI systems to evaluate candidates fairly.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [I worry that AI recruitment systems might discriminate against certain groups of applicants. (reverse-coded)]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [I would be uncomfortable if an AI system made the final decision about whether I get an interview. (reverse-coded)]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [Overall, I feel positive about the use of AI in recruitment.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [I would apply to a company that uses AI in its recruitment process.]","Please indicate how strongly you agree or disagree with the following statements about AI-based recruitment systems.
(AI-based recruitment includes tools such as automated CV screening, AI ranking of candidates, AI video interview analysis, etc.) [Knowing that a company uses AI to screen applications would discourage me from applying. (reverse-coded)]","If a company clearly states that it uses AI tools as part of its recruitment process, how likely would you be to apply for a job or internship there?","If you had two similar job opportunities, and the only difference was the recruitment process, which would you prefer?","For the initial screening of applications (deciding who is invited to the first interview), which option would you feel most comfortable with?"
1/8/2026 2:33:06,"Yes, I agree to participate.",I am currently enrolled as a university student,1–2,20–22,Male,Law,Bachelor,"Yes, part-time work",Yes,"Automated CV or résumé screening, AI-based ranking or scoring of candidates, AI-supported video interview analysis (e.g., analysing facial expressions, tone of voice), Chatbots answering candidate questions during the application process",No,1,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,4,Company B: Recruitment handled by a combination of AI tools and human recruiters,AI tools fully decide which candidates are shortlisted
1/8/2026 2:36:28,"Yes, I agree to participate.",I am currently enrolled as a university student,3–4,26–30,Male,Business / Management / Economics,Bachelor,"Yes, full-time work",Yes,AI-based ranking or scoring of candidates,Maybe,2,Agree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,4,Company A: Recruitment handled mainly by human recruiters only,"AI tools review applications first, and human recruiters review the shortlisted candidates"
1/8/2026 2:43:17,"Yes, I agree to participate.",I am currently enrolled as a university student,3–4,20–22,Male,Business / Management / Economics,Bachelor,"Yes, an internship only",Yes,Automated CV or résumé screening,No,2,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,2,Company B: Recruitment handled by a combination of AI tools and human recruiters,"AI tools review applications first, and human recruiters review the shortlisted candidates"
1/8/2026 2:45:05,"Yes, I agree to participate.",I am currently enrolled as a university student,1–2,20–22,Male,Business / Management / Economics,Bachelor,"Yes, part-time work",Yes,"Automated CV or résumé screening, AI-supported video interview analysis (e.g., analysing facial expressions, tone of voice), Chatbots answering candidate questions during the application process",Yes,2,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,4,Company B: Recruitment handled by a combination of AI tools and human recruiters,"AI tools review applications first, and human recruiters review the shortlisted candidates"
1/8/2026 2:48:44,"Yes, I agree to participate.",I am currently enrolled as a university student,5–6,Over 30,Female,Engineering (non-IT),Bachelor,"Yes, both internship and (part-time/full-time) work",Yes,"AI-based ranking or scoring of candidates, AI-supported video interview analysis (e.g., analysing facial expressions, tone of voice), Chatbots answering candidate questions during the application process",Yes,4,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,2,Company B: Recruitment handled by a combination of AI tools and human recruiters,Only human recruiters review all applications
1/8/2026 2:51:53,"Yes, I agree to participate.",I have already graduated from university (within the last 3 years),,23–25,Male,Business / Management / Economics,Bachelor,"Yes, an internship only",Yes,"Automated CV or résumé screening, AI-based ranking or scoring of candidates, AI-supported video interview analysis (e.g., analysing facial expressions, tone of voice)",Yes,3,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,3,Company A: Recruitment handled mainly by human recruiters only,AI tools fully decide which candidates are shortlisted
1/8/2026 2:54:51,"Yes, I agree to participate.",I am currently enrolled as a university student,5–6,20–22,Male,Business / Management / Economics,Bachelor,"Yes, part-time work",Maybe,"Automated CV or résumé screening, AI-based ranking or scoring of candidates, Chatbots answering candidate questions during the application process, Automated screening of LinkedIn or other online profiles",Maybe,2,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,2,Company B: Recruitment handled by a combination of AI tools and human recruiters,AI tools fully decide which candidates are shortlisted
1/8/2026 2:56:30,"Yes, I agree to participate.",I am currently enrolled as a university student,5–6,20–22,Female,Computer Science / Information Technology,Bachelor,"Yes, full-time work",Yes,"Automated CV or résumé screening, AI-based ranking or scoring of candidates, AI-supported video interview analysis (e.g., analysing facial expressions, tone of voice)",Yes,3,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,2,Company B: Recruitment handled by a combination of AI tools and human recruiters,"AI tools review applications first, and human recruiters review the shortlisted candidates"
1/8/2026 3:00:49,"Yes, I agree to participate.",I am currently enrolled as a university student,1–2,26–30,Male,Health / Medical / Life Sciences,Master,No,Maybe,Chatbots answering candidate questions during the application process,Maybe,2,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,2,Company A: Recruitment handled mainly by human recruiters only,"AI tools review applications first, and human recruiters review the shortlisted candidates"
1/8/2026 3:03:48,"Yes, I agree to participate.",I have already graduated from university (within the last 3 years),,26–30,Female,Business / Management / Economics,Bachelor,"Yes, an internship only",Yes,"Automated CV or résumé screening, AI-based ranking or scoring of candidates, AI-supported video interview analysis (e.g., analysing facial expressions, tone of voice), Automated screening of LinkedIn or other online profiles",Maybe,2,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,3,I have no preference / I don’t know,Only human recruiters review all applications
